"","n_raw_reads","n_mapped_reads","expected_umis","ci_95_low","ci_95_high","dataset"
"261",589999965.865564,430955394.005393,116162247.775112,116076466.348705,116248092.59467,"leukopak"
"262",599999965.287015,438259722.717349,117007782.610569,116920860.951057,117094768.889644,"leukopak"
"263",609999964.708465,445564051.429304,117840704.371713,117752634.814924,117928839.797491,"leukopak"
"264",619999964.129915,452868380.14126,118661403.487555,118572177.758585,118750696.35901,"leukopak"
"265",629999963.551365,460172708.853216,119470070.571514,119379679.737124,119560529.847224,"leukopak"
"266",639999962.972816,467477037.565172,120266927.96989,120175362.389722,120358563.316899,"leukopak"
"267",649999962.394266,474781366.277128,121052560.399037,120959809.675504,121145382.24286,"leukopak"
"268",659999961.815716,482085694.989083,121827223.109057,121733276.036968,121921242.684349,"leukopak"
"269",669999961.237166,489390023.701039,122590909.423872,122495753.938677,122686138.826456,"leukopak"
"270",679999960.658616,496694352.412995,123344533.395308,123248156.52107,123440985.633772,"leukopak"
"271",689999960.080067,503998681.124951,124087688.040478,123990075.837718,124185377.089244,"leukopak"
"272",699999959.501517,511303009.836907,124820708.305858,124721845.819,124919649.157426,"leukopak"
"273",709999958.922967,518607338.548863,125543970.65359,125443841.858712,125644179.370889,"leukopak"
"274",719999958.344418,525911667.260818,126257704.888599,126156292.641597,126359198.657052,"leukopak"
"275",729999957.765868,533215995.972774,126962330.698145,126859616.683689,127065127.876725,"leukopak"
"276",739999957.187318,540520324.68473,127657963.935728,127553928.617448,127762084.107118,"leukopak"
"277",749999956.608768,547824653.396686,128344704.178908,128239326.75052,128450168.198538,"leukopak"
"278",759999956.030218,555128982.108642,129022806.683952,128916065.02221,129129636.727094,"leukopak"
"279",769999955.451669,562433310.820597,129692408.071187,129584278.690754,129800627.678328,"leukopak"
"280",779999954.873119,569737639.532553,130353713.014029,130244171.024487,130463347.133969,"leukopak"
"281",789999954.294569,577041968.244509,131006835.005809,130895854.07123,131117910.036324,"leukopak"
"282",799999953.716019,584346296.956465,131651877.24147,131539429.542704,131764421.067192,"leukopak"
